0	1	Que ciudad de Texas tiene el apodo de "La Rosa Amarilla de Texas"?	Amarillo
1	1	Africa es un pais.	Falso
2	1	Alaska es el estado mas grande de los Estados Unidos.	Verdadero
3	1	Donde se encuentra el Paso de Colchester, tambien conocido como "Puente del Hombre Conejero"?	Condado de Fairfax, Virginia
4	1	Colombia recibe su nombre de Cristobal Colon.	Verdadero
5	1	Frankenmuth, una ciudad estadounidense apodada "Pequena Baviera", se encuentra en que estado?	Michigan
6	1	Groenlandia es casi tan grande como Africa.	Falso
7	1	Cuantos paises hay dentro del Reino Unido?	Cuatro
8	1	Cuantos paises bordean Kirguistan?	Cuatro
9	1	Cuantos paises comparten frontera terrestre con Espana?	5
10	1	Con cuantos paises comparte Estados Unidos una frontera terrestre?	dos
11	1	Cuantos estados federales tiene Alemania?	16
12	1	Cuantos paises independientes hay dentro del continente de America del Sur?	Doce
13	1	Cuantas islas tiene Kuwait?	nueve
14	1	Cuantos rios hay en Arabia Saudita?	0
15	1	En Washington, D.C. que significa la "C"?	Columbia
16	1	En que pais se encuentra el municipio de Arteijo?	Espana
17	1	Japon tiene el trafico por el lado izquierdo.	Verdadero
18	1	Miami es la ciudad mas grande de Florida.	Falso
19	1	En que provincia canadiense se encuentra Montreal?	Quebec
20	1	New Haven es la capital del estado de Connecticut en los Estados Unidos.	Falso
21	1	En que continente se encuentra la cordillera de los Andes?	America del Sur
22	1	El territorio moderno de Portugal fue una vez parte del Imperio Romano.	Verdadero
23	1	Rusia comparte una frontera terrestre con Corea del Norte.	Verdadero
24	1	Santorini es una isla que pertenece a que pais europeo?	Grecia
25	1	San Luis es la capital del estado estadounidense de Misuri.	Falso
26	1	El Principado de Sealand es una micronacion no reconocida frente a la costa de que pais?	El Reino Unido
27	1	Las montanas de los Pirineos estan ubicadas en la frontera de que dos paises?	Francia y Espana
28	1	El desierto de Sonora se encuentra en el este de Africa.	Falso
29	1	En que pais se encuentran los Acantilados Blancos de Dover?	Reino Unido
30	1	La sede de la Organizacion Mundial de la Salud se encuentra en que pais europeo?	Suiza
31	1	La capital de Brasil es Rio de Janeiro.	Falso
32	1	La capital de Indonesia es Bali.	Falso
33	1	La capital del estado estadounidense de Ohio es la ciudad de Chillicothe.	Falso
34	1	En que pais de Africa Occidental se encuentra la ciudad historica de Tombuctu?	Mali
35	1	El montanoso paso de Jiber conecta cual de los dos siguientes paises?	Afganistan y Pakistan
36	1	No hay desiertos en Europa.	Verdadero
37	1	Existe una isla llamada "Java".	Verdadero
38	1	Hay 47 prefecturas en Japon.	Verdadero
39	1	Tokio es la capital de Japon.	Verdadero
40	1	Hasta 1939, Laos se llamaba Siam.	Falso
41	1	La Ciudad del Vaticano es un pais.	Verdadero
42	1	Que atraccion turistica norteamericana es servida por la compania de tours "Maid of the Mist"?	Cataratas del Niagara
43	1	Que ciudad es conocida como la Capital de las Rosas del Mundo?	Tyler, Texas
44	1	En que ciudad se encuentra el Ejercito de Terracota?	Xi'an
45	1	Que pais no es parte de Escandinavia?	Finlandia
46	1	Que evento llevo a Liechtenstein a anadir una corona a su bandera?	Los Juegos Olimpicos de 1936
47	1	Cual es la isla mas grande de Canada?	Isla de Baffin
48	1	Que es Laos?	Pais
49	1	Cual es la 15a letra del alfabeto griego?	Omicron ()
50	1	Cual es la capital de los Estados Unidos?	Washington, D.C.
51	1	Cual es la palabra finlandesa para "Finlandia"?	Finlandia
52	1	Cual es la capital de Bermudas?	Hamilton
53	1	Cual es la capital de Eslovenia?	Liubliana
54	1	Cual es la capital de Australia?	Canberra
55	1	Cual es la capital de Bangladesh?	Daca
56	1	Cual es la capital de Bielorrusia?	Minsk
57	1	Cual es la capital de Brasil?	Brasilia
58	1	Cual es la capital de Chile?	Santiago
59	1	Cual es la capital de Chipre?	Nicosia
60	1	Cual es la capital de Dinamarca?	Copenhague
61	1	Cual es la capital de India?	Nueva Delhi
62	1	Cual es la capital de Lituania?	Vilna
63	1	Cual es la capital de Peru?	Lima
64	1	Cual es la capital de Rumania?	Bucarest
65	1	Cual es la capital de Escocia?	Edimburgo
66	1	Cual es la capital de Seychelles?	Victoria
67	1	Cual es la capital de Eslovaquia?	Bratislava
68	1	Cual es la capital de Surinam?	Paramaribo
69	1	Cual es la capital del estado estadounidense de Arizona?	Fenix
70	1	Cual es el pais musulman mas grande del mundo?	Indonesia
71	1	Cual es el pais mas grande del mundo?	Federacion Rusa
72	1	Cual es el pais mas grande del mundo?	Rusia
73	1	Cual es el rio mas largo de Europa?	Volga
74	1	Cual es el nombre de la region rocosa que abarca la mayor parte del este de Canada?	Escudo Canadiense
75	1	Cual es el nombre de la peninsula que contiene a Espana y Portugal?	Peninsula Iberica
76	1	Cual es el idioma oficial en Liechtenstein?	Aleman
77	1	Cual es el idioma oficial de Costa Rica?	Espanol
78	1	Cual es el unico estado de los Estados Unidos que no tiene una bandera en forma con 4 bordes?	Ohio
79	1	Como se llama la region que une Pakistan, India y China con un liderazgo desconocido?	Cachemira
80	1	Cual es el pais mas pequeno del mundo?	Ciudad del Vaticano
81	1	Cual es la montana mas alta de Canada?	Monte Logan
82	1	Que nombre se uso historicamente para la ciudad turca actualmente conocida como Estambul?	Constantinopla
83	1	Cual era el nombre anterior de la nacion africana de Zimbabue?	Rodesia
84	1	Donde se encuentran las Lineas de Nazca?	Peru
85	1	Donde esta ubicado Fort Marlborough?	Bengkulu
86	1	Donde esta ubicada la Muralla de Adriano?	Carlisle, Inglaterra
87	1	Donde esta el rio Volga?	Rusia
88	1	Donde se encuentra la ciudad antigua de Petra?	Jordania
89	1	Donde esta ubicada la ciudad de Haarlem?	Paises Bajos
90	1	Cual es el barrio mas al norte de la Ciudad de Nueva York?	Bronx
91	1	Que provincia canadiense tiene a Charlottetown como su capital?	Isla del Principe Eduardo
92	1	En que condado ingles encontraras la Universidad de East Anglia?	Norfolk
93	1	Que ciudad europea tiene el mayor kilometraje de canales del mundo?	Birmingham
94	1	Que nacion oceaniana es conocida en maori como Aotearoa?	Nueva Zelanda
95	1	Que pais del Reino Unido presenta un dragon en su bandera?	Gales
96	1	Cual es la capital de Michigan?	Lansing
97	1	Que pais reclama la propiedad del estado disputado de Kosovo?	Serbia
98	1	Que pais no limita con Austria?	Francia
99	1	Que pais tiene la abreviatura "CH"?	Suiza
100	1	Que pais tiene tres capitales?	Sudafrica
101	1	Que pais dentro del Reino Unido NO aparece en su bandera, la Bandera de la Union?	Gales
102	1	En que pais se encuentra el rio Taedong?	Corea del Norte
103	1	Cual es el pais con la poblacion japonesa mas grande fuera de Japon?	Brasil
104	1	Cual es la ciudad mas grande de Marruecos?	Casablanca
105	1	Cual es el lago de agua dulce mas grande del mundo?	Lago Superior
106	1	Cual es el unico estado estadounidense ubicado completamente en la region de Apalaches?	Virginia Occidental
107	1	Cual es el pais mas pequeno del mundo?	Ciudad del Vaticano
108	1	Cual es el rio mas largo del mundo?	Nilo
109	1	Cual es el estado mas pequeno de los Estados Unidos?	Rhode Island
110	1	Que estrecho de agua conecta el oceano Atlantico con el mar Mediterraneo?	Estrecho de Gibraltar
111	2	"Cube", "Cube 2: Hipercubo" y "Cube Zero" fueron dirigidas por la misma persona.	Falso
112	2	"Make You Feel My Love" fue escrito y interpretado originalmente por cual cantautor?	Bob Dylan
113	2	La primera regla es: no hables de ello", es una referencia a que pelicula?	El club de la lucha
114	2	'74-'75 es un sencillo de 1993 del album Ring de que banda estadounidense?	Los Connells
115	2	Segun la tradicion de Star Wars, cual es el planeta natal de Han Solo?	Corellia
116	2	Despues de India, que pais produce la segunda mayor cantidad de peliculas por ano?	Nigeria
117	2	El sello discografico EDM Monstercat firma pistas en lugar de artistas.	Verdadero
118	2	Ed Koch, el alcalde de Nueva York en 1984, se interpreto a si mismo en que pelicula de los Muppets?	Los Muppets conquistan Manhattan
119	2	Bajo que nombre han colaborado y lanzado temas los artistas electronicos Boys Noize y Skrillex?	Sangre de Perro
120	2	Eurobeat es principalmente un genero musical italiano.	Verdadero
121	2	En "Jurassic World", cual es el nombre del dinosaurio que es un hibrido genetico?	Indominus Rex
122	2	En "Jurassic World", que empresa compra InGen y crea Jurassic World?	Corporacion Masrani Global
123	2	En "Rick and Morty", quien disparo a "Sr. Poopybutthole" en el episodio "Total Rickall"?	Beth
124	2	Que banda lanzo en 2006 su album debut "A Fever You Can't Sweat Out"?	Panic! At the Disco
125	2	En Buscando a Nemo, cual era el nombre de la mama de Nemo?	Coral
126	2	En Two and a Half Men, cual es el nombre del hijo de Alan Harper?	Jake
127	2	Con que se pago a la mayoria de los extras de Mad Max (1979) para reducir costos?	Cerveza
128	2	En la pelicula de 1976 'Taxi Driver', cuantas armas compro Travis al vendedor?	Cuatro
129	2	En El Senor de los Anillos: Las Dos Torres, adonde lleva la partida de orcos a los hobbits?	Isengard
130	2	En que ano Clint Eastwood actuo como el Inspector Harry Callahan en la pelicula "Dirty Harry"?	1971
131	2	En que ano se estreno la primera pelicula de Transformers?	1986
132	2	En que estado de America nacio y se crio el Principe del Rap?	Pensilvania
133	2	En que ano se lanzo el album de Megadeth "Peace Sells... but Who's Buying?"?	1986
134	2	En que pelicula hizo Johnny Depp su debut en la pantalla grande?	A Nightmare on Elm Street
135	2	En que ciudad italiana se encuentra la opera La Fenice?	Venecia
136	2	Como su personaje en "Parks and Recreation", Aziz Ansari nacio en South Carolina.	Verdadero
137	2	Metallica colaboro con Mr Bean de Rowan Atkinson en un sencillo de alivio comico de 1992.	Falso
138	2	Michael Jackson escribio la cancion de Los Simpson "Do the Bartman".	Falso
139	2	Nick Mason es el unico miembro en aparecer en todos los albumes de Pink Floyd.	Verdadero
140	2	En el episodio "Total Rickall" de la serie "Rick and Morty", quien era un parasito?	Lapicestre
141	2	El album de debut de Pink Guy fue "Pink Season".	Falso
142	2	El nombre real del rapero Snoop Dogg es 'Cordozar Calvin Broadus, Jr.'.	Verdadero
143	2	La cancion de Queen "A Kind Of Magic" aparece en cual pelicula de 1986?	Highlander
144	2	De que album es la cancion "Give It Away" de Red Hot Chili Peppers?	Blood Sugar Sex Magik
145	2	En cual de sus canciones aparece la linea homonima de The Who, "Teenage Wasteland"?	Baba O' Riley
146	2	El autor detras de la aclamada novela "Leaving Las Vegas" tambien escribio un episodio de Rugrats.	Verdadero
147	2	El color de las pastillas en Matrix eran Azul y Amarillo.	Falso
148	2	La pelicula ficticia 'Rochelle, Rochelle' aparece en que sitcom?	Seinfeld
149	2	La pelicula "2001: Una odisea del espacio" se estreno el 31 de diciembre de 2000.	Falso
150	2	La pelicula Mad Max: Fury Road presenta el Dies Irae del requiem de que compositor?	Verdi
151	2	De cual ciudad inglesa es la banda de heavy metal Black Sabbath?	Birmingham
152	2	La cantante Billie Holiday tambien era conocida como "Lady Day".	Verdadero
153	2	La cancion "Mystery Train" fue lanzada por el artista "Little Junior's Blue Flames" en 1953.	Verdadero
154	2	El arma que Clint Eastwood usa en "Dirty Harry" fue una .44 Automag.	Falso
